scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
severe,-0.3,2,-0.35,0.85,0.3,0.05,0.0,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.05,0.0,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.05,0.02,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.05,0.02,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.05,0.02,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.05,0.02,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.05,0.05,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.05,0.05,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.05,0.05,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.05,0.05,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.08,0.0,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.08,0.0,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.08,0.0,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.08,0.0,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.08,0.02,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.08,0.02,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.08,0.02,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.08,0.02,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.08,0.05,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.08,0.05,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.08,0.05,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.08,0.05,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.12,0.0,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.12,0.0,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.12,0.0,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.12,0.0,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.12,0.02,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.12,0.02,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.12,0.02,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.12,0.02,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.3,0.12,0.05,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.12,0.05,0.2988,0.24359521363417708
severe,-0.3,2,-0.35,0.85,0.3,0.12,0.05,0.8067,0.5830043610878256
crisis,-0.4,3,-0.5,0.85,0.3,0.12,0.05,0.9933,0.6959570221337992
mild,-0.1,0,-0.1,0.85,0.5,0.05,0.0,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.05,0.0,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.05,0.0,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.05,0.0,0.9933,0.49711215866699937
mild,-0.1,0,-0.1,0.85,0.5,0.05,0.02,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.05,0.02,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.05,0.02,0.8067,0.4164316864913041
crisis,-0.4,3,-0.5,0.85,0.5,0.05,0.02,0.9933,0.49711267586699903
mild,-0.1,0,-0.1,0.85,0.5,0.05,0.05,0.039,0.026019409042542845
base,-0.2,1,-0.22,0.85,0.5,0.05,0.05,0.2988,0.17399658116726935
severe,-0.3,2,-0.35,0.85,0.5,0.05,0.05,0.8067,0.4164316864913041
